,OpenMP,CUDA Global Memory,CUDA Constant Memory
chess,2.984,4.856770833333333,5.067934782608695
chessBig,6.478393830607631,20.558649789029534,21.083513630463003
chessL,3.662820512820513,6.0658174097664554,6.377232142857143
chessRotate1,2.756508422664625,4.6875,4.904632152588556
house,3.8169312169312173,7.228456913827656,7.561844863731657
